,index,Review,Rating
49,49,"จองCubic แต่ได้พักที่Spittze(น่าจะเป็นเจ้าของเดียวกัน) ตอนเข้าไปCheck inก็งงๆหน่อยค่ะ เพราะฝั่งเคาน์เตอร์ของCubicไม่มีพนังงานเลยค่ะ ต้องเดินไปฝั่งspittze แขกที่นี่ส่วนมากน่าจะเป็นเวียดนามค่ะ ฝักบัวอาบน้ำที่นี่เป็นแบบติดผนังไม่มีสายทำให้ค่อนข้างลำบากเวลาอาบน้ำ ห้องน้ำอับ,ร้อนมาก เนื่องจากไม่มีช่องระบายอากาศ แอร์เย็นช้ามาก มีบริการรถตุ๊กๆไปตามจุดต่างๆ3จุด แต่พอบอกคนขับ คนขับไม่พาไปส่งค่ะ บอกว่าไปได้แค่ปากซอยใกล้ๆ (เหมือนคนขับไม่ค่อยอยากบริการลูกค้า) โทรเรียกมารับได้ที่ปากซอย แต่กว่าจะมาเดินถึงแล้วค่ะ ถึงที่พักคนขับนั่งชิวมากยังไม่ออกไปรับเราเลย😂 เกินค่อนข้างใกล้จากปากซอยนิดนึงค่ะ แต่เป็นบริเวณที่ใกล้แหล่งท่องเที่ยวค่ะ",6.0
50,50,ไม่มี,8.4
51,51,พนักงานต้อนรับหน้าไม่รับแขก ไม่มีการอธิบายใดๆทั้งสิ้น ห้องรวมอาหารเช้าหรือไม่ ต้องถามเอง พนักงานแม่บ้านนำผ้าขาดๆมาปูเตียงให้ลูกค้า นำผ้าเช็ดตัวขาดมาให้ลูกค้า และนำเตารีดเปื้อนคราบมาให้ลูกค้า มาตราฐานน้อยกว่าโรงแรม 1 ดาว,2.0
52,52,ใกล้ประตูน้ำ,6.0
53,53,ใกล้กับแหล่งช๊อปปิ้งและรถไฟฟ้า ห้องพักสะอาด พนักงานบริการดี,9.6
54,54,ควรมีบริการอาหารเช้าเพิ่มเติม และเพิ่มที่จอดรถเนื่องจากผู้เข้าพักมีรถมาจะหาที่จอดไม่ได้,6.0
55,55,สะอาดดี บริการดีมาก มีรถรับส่งตลอด,10.0
56,56,ข้อเสียเข้าไปในซอยลึก200 เมตร,8.0
57,57,วันที่พักจองกับทางอโกด้า จองโรงแรมคิวบิก แต่พนักงานอัพเกรดให้ได้ฝั่งโรงแรม สปริตเซ่ สบายมาก ดีใจค่ะชอบมาก,8.0
58,58,1 ที่นอนห่วยมาก สปริงล้ม 2 นำ้หกบนโต็ธ อาหาร เจ้าหน้าเดินไปเดินมา เราต้อง เช็ดเอง,2.0
59,59,เดินเข้าไปในซอยประมาณ200เมตร ข้อเสียค่ะ,7.6
60,60,คุ้มค่ากับเงินที่จ่ายคะ,7.2
61,61,เตียงนอนไม่โอเค คล้ายว่าเตียงสปริงจะพังนอนยาก ห้องน้ำซักโครกใช้ไม่ได้,4.8
62,62,ข้อดีเตียงนุ่ม แอร์เย็น สัญญาณทีวีชัด น้ำไหลดี,7.6
63,63,ข้อดีคุ้มกับราคาที่จ่าย ข้อเสียเดินเข้ามาในซอย,7.6
64,64,ที่นอนค่อนข้างแย่ เป็นสปริงแบบกดแล้วยวบลงไป นอนแล้วทำให้รู้สึกปวดหลังมาก,5.6
65,65,เดินทางลำบาก แม้จะมีรถรับ ส่ง พนักงานไม่ค่อยเต็มใจบริการ ห้องสกปรก ผ้าปูมีคราบ ผ้าเช็ดตัวขาด มีคราบ ไวไฟช้า โดยรวมไม่ประทับใจ,4.4
66,66,ห้องพักสะอาด มีห้องฟิตเนสไว้บริการ ใกล้ bts และแหล่งช็อปปิ้ง มีรถบริการรับ-ส่ง เดินทางสะดวกแต่ทางเข้าดูเปลี่ยวนิดหน่อย,8.0
67,67,เดินเข้าซอยลึกไปหน่อย,8.0
68,68,ข้อเสีย เดินเข้ามาในซอยค่อนข้างลึก,8.0
69,69,พนักงานบริการดีทุกส่วน ห้องกว้าง,9.6
70,70,หายาก มีป้ายชื่อสองด้านไม่ตรงกัน ไม่มีบริการส่งลูกค้า ช่องทีวีมีน้อย,6.8
71,71,ข้อดีคือใกล้ประตูน้ำ โรงแรมอยู่ในซอยลึก และอาหารเช้ามีน้อย ห้องน้ำไม่ค่อยสะอาด ก๊อกน้ำหลุด แม่บ้านมาทำความสะอาดไม่ถึง5 นาทีไม่ถู ไม่ล้างห้องน้ำ ประตูห้องน้ำฝุ่นเกาะเต็มเลย น้ำดื่มเติมให้แค่ขวดเดียว ของใช้ในห้องน้ำสบู่ไม่เติมให้อยู่ก้นขวด ความสะอาดไม่ผ่านค่ะ,5.2
72,72,ตอนคืนแขกที่มาพัก ห้องอื่นเสียงดังมาก เสียงเคาะประตูห้องดังทั้งคืน คุยเสียงดังมากเหมือนทะเลาะกัน (แขกอินเดีย) ต้องนอนฟังเสียงดังๆทั้งคืน😞,4.8
73,73,เดินเข้ามาซอย เพชรบุรี13 ไม่ลึกมาก เดินทางสะดวก ห้องพักสบายดี,8.0
74,74,"ห้องนอนโอเคนะ มีเสียงดังจากด้านนอกเพราะอยู่ชั่นสอง แอร์เย็น เตียงใหม่ยังไม่แกะพลาสติก ยวบยาบไปหน่อย แต่ประทับใจที่มีรถตุ๊กตุ๊กรับส่งตลอดเลย อยู่กลางซอยเดินไกล แต่ถ้าเดินเล่นๆ ก็ถือว่าไม่ไกลหรอก ออกมานิดเดียวถึงพันทิปแล้ว It's very close to shopping areas and sky train stations. If you're looking for a nice hotel for a day or two and then go on a hostel like me, this one is a choice. Recommended.",10.0
75,75,ราคาเหมาะสม ใจกลางเมือง เดินเข้ามาซอย13. ไม่ไกล มีรถโรงแรมบริการส่ง ถนนใหญ่,8.0
76,76,ห้องพักราคาไม่แพง เดินทางสะดวก,6.8
77,77,"ห้อง 513 , 315-316 เราเปิด 3 ห้อง สภาพเตียงนอนเป็นสปริง ซึ่งน่าจะเป็นสปริงที่หมดอายุการใช้งาน นอนปุ๊บเราจมเลยทีเดียว ผ้าเช็ดตัวเก่า เราพลาดล่ะ ไม่เคยเจอเตียงนอนแบบนี้เลยตั้งแต่เริ่มใช้บริการโรงแรมไหนๆ ไม่สมราคา ควรเปลี่ยนได้แล้วค่ะ",4.0
78,78,ห้องกว้างพนักงานบริการดี ด้านล่างมีบริการนวด,9.6
79,79,ที่จอดรถโอเค ห้องพักโอเค ถึงจะไม่ติดถนนใหญ่แจ่ก็เดินทางง่ายเพราะโรงแรมมีบริการตุ๊กๆ ให้นั่ง ปรับปรุงเรื่องเสียงรบกวน เพราะมีการเลื่อนโต๊ะกับเก้าอี้ ชั้นบนทั้งคืน รบกวนเวลานอนมาก,6.0
