,index,Review,Rating
21,21,ห้องพีกกว้าง สะอาด ดช็คอินได้24ชม. ของกินเยอะ ใกล้ห้าง เดินทางสะดวก,10.0
22,22,ทำเลดี สถานที่ดี แต่ไม่มีการเก็บเสียง เสียงทั้งจากถนน ข้างห้องได้ยินทั้งหมด นอนไม่หลับแน่นอนสำหรับคนที่นอนหลับยาก,6.4
23,23,เดินทางสะดวก มีป้ายรถเมล์หน้าที่พัก,9.6
24,24,หากจองห้อง Standard แล้วขอเป็น Twin bed จะเสียเงินเพิ่มตอนเช็คอิน คืนละ 50฿ ต่อห้อง สอบถามก่อนเข้าพักดีๆนะคะ ถ้าไม่อยากเสียเงินเพิ่ม,8.8
25,25,เก่าไปนิด แต่ทุกอย่างดีมาก,10.0
26,26,ทำเลที่ตั้งดี ใกล้รถไฟฟ้า หาของกินสะดวก ของกินเยอะมาก,8.4
27,27,สะดวก ใกล้ bts ราชเทวี,9.2
28,28,ห้องไม่เก็บเสียง ห้องอื่นคุยกันหรือพูดกันจะได้ยินแบบรำคานหูเลย,5.6
29,29,พนักงานกะดึกเเย่มากๆๆ,4.4
30,30,พนักงานบริการตอนกลางคืน ที่เป็นลุง พูดจาไม่สุภาพ เสียงเเข็ง ไม่มีความต้อนรับลูกค้าเลย ถ้าง่วงลุงเเค่ไปนอน ถ้าไม่พร้อมลุงเเค่ไม่ต้องทำครับ ส่วนพนักงานคนอื่นๆบริการดีมากครับ ขอบคุณครับ,5.6
31,31,ห้องสภาพโอเคนะ จองตอนลด แต่ถ้าราคาเต็ม ขอคิดอีกที ประตูระเบียงมีปัญหาแต่เคลมได้ ไวอยู่ เช็คเอ้า เช็คอินไว,8.4
32,32,ราคาก็แพงมากไม่มีอะไรกินก็ลำบาก,2.0
33,33,ที่พักใจกลางเมือง สะดวกกับการเดินทาง มีลานจอดรถให้จอดสำหรับคนเอารถมา ห้องสะอาดประมาณหนึ่งแต่ก็มีร่องรอยความเก่าอยู่เล็กน้อยแต่ก็สมกับราคาอยู่,8.0
34,34,ทุกอย่างพอใช้ได้ แต่ทีวีมีแต่อินเดียครับ พยายามกดหาช่องที่เป็นภาษาอื่นแล้วไม่มีเลย,4.4
35,35,ห้องไม่คาดเก็บเสียง ใครพูดอะไรข้างนอกห้องได้ยินหมด นอกนั้นโอเค ทำเลติดถนน ไปมาสดวกดี,8.4
36,36,ใกล้กับร้านอาหาร ของกินเยอะ มี7-11ใต้หอพักเลย แต่ที่นอนแข็งมาก เตียงเป็นแบบเอาที่นอน3ฟุตมาติดกัน2เตียง แล้วแข็งด้วย นอนปวดหลังสุดๆ,9.2
37,37,Everything is good except the night guy’s staff because he speak not really good,8.8
38,38,หอพักมาดัดแปลงเป็นโรงแรม 2 ชั้น แพงไปนิดสัก 500 กำลังดี,7.2
39,39,ไม่ตรงปกกกกกก,4.8
40,40,ห้องกว้างขวางดีมากครับ แต่แอร์เก่าไปหน่อยและไม่เย็น,8.0
41,41,พักกี่ครั้งก็ยังประทับใจคุ้มค่า เดินทางสะดวก ใกล้ย่านอาหารด้วย,8.4
42,42,-,10.0
43,43,ที่พักดีมาก เดินทางสะดวกด้วย มีร้านอาหารล้อมรอบเลือกได้ตามใจชอบเลย ด้านล่างมีเซเว่นด้วย โดยรวมคือ ดีค่ะ (มัดจำ 500 บาท ได้คืนตอนเช็คเอ้านะ),10.0
44,44,ทีวีแต่ละช่องไม่ค่อยชัด ควรปรับปรุงหน่อยครับ,8.0
45,45,ที่พักสะอาด สิ่งอำนวยความสะดวกครบ เดินทางง่าย ใกล้สถานีรถไฟฟ้าราชเทวี,8.4
46,46,โดยรวมคือดี เดิน4-5นาที ถึง bts ราขเทวี ไปพักตอนจะไปสอบ พนักงานพูดดีมาก พูดจาสุภาพ ข้างหลังเป็นคาเฟ่อเมซอน ก็คือ ประตูติดกันไปเลยจ่ะ ดีเว่อ ซอยข้างๆมีของขายเยอะมาก แต่เป็นของกิน เดินเข้าไปหน่อยหมูทอดอร่อย ที่จายเป็นขีดนะ เซเว่นข้างหน้าก็มี เดินไปในซอยก็มี เห็นมีร้านขานมไข่มุก ถ้าว่างก็เดินไปแพลทตินัมได้อ่ะ ถ้าเป็นคนเดินเก่งนะ ห้องพักสะอาด ห้องน้ำก็ดีมาก ค่าส่งซักรีดค่อนข้างราคาสูง ไฟในห้องสว่างไม่สุดอยู่1ดวง แต่โดยรวมคือคุ้มค่ะ,10.0
47,47,ห้องกว้าง สภาพห้องกลางๆไม่เก่าไม่ใหม่ พนักงานเป็นกันเอง สะดวกในการเดินทาง พักที่นี่ทุกครั้งที่มา บางห้องฝักบัวน้ำไม่ค่อยแรง,8.0
48,48,ใกล้แหล่งท่องเที่ยว พนักงานดูแลดีมาก ราคาคุ้มค่า,9.2
49,49,ที่พักสะอาด ตามรูปที่โชว์ มีลิฟ อยู่ห่างจาก BTS ราชเทวีเดิน 10 นาทีถึง หน้าโรงแรมมีจุดขึ้นรถเม สะดวกดี พนักงานน่ารัก ในระบบให้เชคอิน11.00 แต่ไปถึง 10.10น. พอ10.30 ก็เชคอินได้ ดีมากกกก แอร์เย็นมากก แต่เสียดายที่ห้องที่อยู่ชั้นเดียวกัน เสียงดังมากกกกกกก แต่โดยรวมเกี่ยวกับโรงแรมถือว่าโอเคเลย,9.6
50,50,มาบ่าย4 พนักงานบอกห้องยังไม่เสร็จแย่มาก เตียงคู่ กดตอนจอง มาถึงคิดเงินเพิ่ม50บาท พักมาพึ่งเคยเจอระบบแบบนี้,6.8
51,51,ที่พักติดถนนใหญ่ เสียงดัง,4.4
52,52,ไม่มี,9.2
53,53,เดินทางได้สะดวก,6.8
54,54,ทำเลดีมากติดกับ 7-11 ห้องพักสะอาดค่ะ,7.6
55,55,ทำเลสะดวกในการเดินทาง ของกินมีรอบๆหาทานได้ง่าย กลับจากทำงานยังมีของให้ทานไม่ลำบาก,8.0
56,56,1.พนักงานให้กุญแจห้องผิด เปิดเข้าไปมีห้องที่มีคนเข้าพักอยู่แล้ว 2.พนักงานลืมว่าลูกค้าจ่ายเงินค่าที่พักไปจำนวนเท่าไหร่ ต้องโทรมาถามซ้ำกับลูกค้าว่าจ่ายครบไหม?,8.0
57,57,จองห้องเป็นเตียงเดียว แต่ว่าเตียงที่ได้เป็น 2 single แล้วเอามา combine ซึ่งเวลานอนเตียงแยกเป็นช่องโหว่ง ทำให้การนอนไม่สะดวกสบาย มาพักที่3-4 ครั้งแล้ว พบปัญหาเดิมๆ ตลอดเลย,6.4
58,58,โดยรวมพอใช้ค่ะ แต่ถ้าใครไปคนเดียวแนะนำนอนเตียงใหญ่เตียงเดียวค่ะ เพราะถ้าเตียงคู้มีค่าใช้จ่ายเพิ่มอีกคืนละ 50 บาทต่อห้องแต่ทางที่พักไม่ได้แจ้งกับเวปไว้ และถ้าบุคแล้วไม่สามารถเปลี่ยนแปลงได้ การทำความสะอาดถ้านอนมากกว่า 1 คืนต้องแจ้งที่เคาท์เตอร์ทุกวัน (ถ้าไม่แจ้งจะไม่มีการทำความสะอาดให้) น้ำถ้าไม่ขอเพิ่มเองก้อจะไม่ได้เพิ่มในคืนถัดไป (เราได้แค่รอบเดียว),6.8
59,59,ห้องพักใกล้ BTS มี เซเว่นหน้าตึก หาของกินง่าย,8.0
60,60,เดินทางสะดวกบริการรวดเร็วดีมาก,9.2
61,61,พนักงานรอบดึก คือ แย่มากค่ะ พูดจาไม่มีมารยาท พูดกับลูกค้าแบบอย่างกับขอทาน น่าเกลียดมากค่ะ แต่ห้องพัก โดยรวมถือว่าโอเคค่ะ สมราคา,5.6
62,62,บริเวณรอบๆ มีร้านอาหาร มากมาย,8.8
63,63,ไม่คาดหวังมาก จากราคาไม่ถึงพัน ไว้นอนก็โอเค เดินทางสะดวก ด้านล่างมีเซเว่น อเมซอน แต่แอร์ไม่ค่อยเย็น โชคดีที่วันที่ไปพักฝนตก อากาศเย็น,8.0
64,64,ไม่ไกลป้ายรถเมล์ สามารถเดินไป BTS ราชเทวีได้ สะดวก สะอาด ปลอดภัย มีของกินเยอะ,8.8
65,65,ตอนไป check in ประมาณตี 2 พนักงานผู้ชายดูมีอายุ หน้าดุๆ หน่อย แต่คงไม่มีอะไร ตอน check out พนักงานน่ารักค่ะ ส่วนตอนเช้า เสียงแม่บ้านทำความสะอาดดังไป รบกวนค่ะ ทำเลดี อาหารแถวนั้นเพียบ อยู่ใกล้ รถไฟฟ้า แต่ต้องเดินสักนิด ออกกำลังกาย,8.0
66,66,"ทำเลดี ติดถนนใหญ่ ไม่ไกลจาก BTS ราชเทวี จองห้องพักและจ่ายเงินผ่าน agoda เรียบร้อยแล้ว แต่ตอนเช็คอินก็มีค่ามัดจำอีก 1,000 บาท (ได้คืน) บริเวณใกล้ๆ มีร้านค้าเยอะแยะมากมาย ห้องพักสะอาดและกว้าง มีระเบียง มีมุมโซฟาในห้องพัก คุ้มราคา แต่ผ้าขนหนูเก่าไปนิด",8.0
67,67,"ข้อดี : ใกล้แหล่งช้อปปิ้ง ไม่ห่างจากBTS ""ราชเทวี""มาก สามารถเดินไปได้ ข้างล่างตึกมีเซเว่น ซอยด้านข้างมีตลาด ข้อเสีย : น้ำเปล่าในห้องตอนที่เข้าพัก ในตู้เย็นมีแค่ขวดเดียว ปกติเคยพักได้2ขวด",10.0
68,68,ควรปรับปรุงประตู โดยเฉพาะช่องตาแมวที่ชำหรุดหลายห้องทำให้มองเข้ามาในห้องพักได้และ ไม่ปลอดภัยในการพัก พัดลมแอร์มีเสียงดังไม่สามารถนอนได้ การบริการลูกค้ายังไม่ดีเท่าที่ควรไม่สมกับราคาที่จ่ายไป ไม่ค่อยดูแลลูกค้า,6.8
69,69,โรงแรมอยู่ไม่ไกลจากบีทีเอสราชเทวี สามารถเดินไปได้ ห้องพักใหญ่ ข้อเสียคือแม่บ้านมีน้อย พักสองคืน แม่บ้านไม่มาทำความสะอาดให้วันที่สอง และโรงแรมอยู่ติดถนน อาจจะได้ยินเสียงรถรบกวนได้บ้าง,6.8
70,70,ทักทายด้วยมัดจำ1000บาท แต่ท้ายที่สุดได้คืนจนหมด คุ้มค่า เพราะอยู่ใจกลางเมือง ราคาไม่แพง หาของกินง่าย ห้องกว้าง แต่ ยังมีที่ว่าง สำหรับการปรับปรุง โดยเฉพาะ ความสะอาด และ การซ่อม Function พื้นฐาน.... ซึ่งเป็นการลงทุนที่ประหยัดและคุ้มค่าที่สุด จากสิ่งที่มีอยู่ โดยนำรายได้มา reinvest เช่น ก๊อกน้ำที่ปิดไม่สนิท ทำให้สิ้นเปลืองน้ำำ และ ดูไม่ดี ในขณะที่ราคาค่าเปลี่ยนไม่แพงนัก หรือ สะดืออ่างที่โบ๋ มีจุกยาสีฟันตกในนั้น ก็น่าจะซื้อใหม่มาเปลี่ยน จากเงินรายได้... หรือ ที่กดชักโครก จริงอยู่ว่ายังกดได้ แต่มันเหลือแต่ก้าน พร้อมจะพัง และดูไม่ดี สามารถเปลี่ยนได้ในราคาไม่แพง หรือ ตะแกรงฝาท่อที่หายไป ที่ทำให้เรากลัวว่าอาจมีตัวอะไรผุดขึ้นมา สามารถซื้อมาแทนได้ในราคา 10 บาท การลงทุนกับทรัพยากรที่มีอยู่แล้ว จากรายได้ที่ได้รับ จะเป็นการลงทุนที่คุ้มค่า ประหยัดที่สุด และให้ผลตอบแทนดีที่สุด ดีกว่าปล่อยทรุดโทรม.... แม้ในกรณีใกล้ครบสัญญาเช่า...,8.0
71,71,บริการดีมากค่ะ ห้องตรงตามภาพที่ลงเลยค่ะ,10.0
72,72,"ข้อเสีย แม่บ้าน ค่อนข้างจะเสียงดัง (เสียงพูดคุย,เสียงวางของ,เสียลากของ,เสียงเปิดปิดประตู) รบกวนเวลาพักผ่อนของผู้พักอาศัย ควรประบปรุง",9.6
73,73,ที่พักใกล้กับbtsสะดวกแก่การเดินทาง หาของกินตอนกลางคืนง่ายเพราะมีร้านอาหารใกล้ๆ และก็มีเซเว่นอยู่ข้างตึกที่พัก ห้องสะอาด พนักงานน่ารัก ข้อเสียคือแอร์ไม่เย็นค่ะ,8.0
74,74,ข้อดี ราคาถูก ทำเลไม่ไกลจากใจกลางเมือง ข้อเสีย ในห้องน้ำมีแค่สบู่กับผ้าเช็ดตัว ห้องค่อนข้างเก่า พนง.ไม่รู้จักห้องว่าง (เปลี่ยนห้อง 3 รอบเพราะห้องไม่ว่าง/เปิดห้องไม่ได้) ใช้เวลาเกือบครึ่ง ชม.ในการเช็คอิน (ส่วนนึงเป็นผลจากการขอเตียงเสริม) ถ้ามาคนเดียวและต้องการแค่พักนอนและไม่ต้องการสิ่งอำนวยความสะดวกมากนักก็นับว่าเป็นที่พักที่คุ้มค่า,6.0
75,75,ทีวี ไม่ชัด,6.4
76,76,ที่พักอยู่ใจกลางเมือง เดินทางสะดวก มีที่จอดรถ(แบบจำกัด) หาของกินง่ายข้างล่างมีทั้งเซเว่นและAmazon แต่ที่พักให้น้ำแค่หนเดียว 2ขวด (พักหลายวันแต่ได้น้ำมาแค่ 2 ขวด) ไม่มีไดร์เป่าผม,8.4
77,77,ห้องใกล้บีทีเอส เดินทางสะดวกคุ้มกับราคา แต่ได้ยินเสียงรถวิ่งเวลากลางคืน แต่ถือว่ารับได้ ห้องใหญ่ดีค่ะ,8.0
78,78,ห้องพักใกล้ตลาดกลางคืนเสียงดังจากคนและรถตลอดทั้งคืน ประตูเก่ามาก,5.2
79,79,รวมๆโอเค ใกล้บีทีเอสเดินทางสะดวก,8.4
