Review,Label
ที่พักสวยมาก สมราคาค่ะ ให้ 5 ดาวเลย,Positive
ทำเลดี ห้องพักสะอาด พนง.บริการดีมาก คุ้มเกินราคา ไว้คราวหน้าจะไปใช้บริการอีกค่ะ,Positive
ห้องดูดี สะอาด พนักงานบริการดี สถานที่ตั้งเดินทางสะดวก เยี่ยมมากๆ แล้วจะกลับไปอีกครับ,Positive
ห้องพักกว้างกำลังดี ของใช้ดูใหม่ อ่างล้างหน้าอยู่นอกห้องน้ำ ประตูห้องอาบน้ำใช้อันเดียวกันกับห้องน้ำ เลื่อนปิดอย่างใดอย่างหนึ่ง โรงแรมบรรยากาศดี มีสระน้ำ มีระบบรักษาความปลอดภัยดีมาก พนักงานเป็นกันเอง ยิ้มแย้ม สุภาพ,Positive
รร.สะอาด พนักงานเป็นมิตร ใกล้BTS เดินทางสะดวก,Positive
ห้องดีมากเว่อร์เกินราคา บรรยากาศดีมากก เหมาะกับคู่รักมาฮันนีมูนค่ะ เตียงนี่นุ่มสบายแทบไม่อยากตื่นเลยค่ะ,Positive
ไม่ไกลมากจากBTSอารีย์ แต่นั่งมอเตอไซค์มาจะดีกว่า โรงแรมดีมากๆ ผิดหวังนิดหน่อยที่จองห้องวิวสระว่ายน้ำมา แต่ถูกอัพเกรดให้ไปอยู่ห้องที่มีขนาดใหญ่กว่าแต่ไม่ใช่วิวสระว่ายน้ำ สระสวยมาก เหมาะแก่การพักผ่อน มาบาร์อยู่ด้านล่างเลย ไม่ต้องไปดื่มที่อื่น สตาฟอัธยาศัยดีมาก อยากให้มีบริการเสริมเตียงหรือลดราคาลงสำหรับแขกท่านที่สาม เนื่องจากปัจจุบันหากต้องการพักสามคนต้องจ่ายเพิ่ม850 แต่ไม่มีบริการอะไรเพิ่มเติม,Neutral
ห้องพักสบาย ใกล้บีทีเอส และร้านอาหารคาเฟ่ต่างไป,Positive
โรงแรมใจกลางอารีย์เก๋ๆ ห้องพักเล็กกะทัดรัด สะอาด ดูใหม่ โรงแรมมีความชิค เหมาะแก่การถ่ายรูป,Positive
โรงแรมดีมากๆค่ะ ของจริงตรงปกมาก เราเป็นผู้หญิงเดินทางคนเดียวแต่รับรองปลอดภัยและสะดวกสบาย แนะนำเลย รีเซปชั่นช่วยเหลือดี เราของบริการรีดผ้าแต่ทางโรงแรมไม่มี เขาแก้ปัญหาด้วยการหาเตารีดมาให้ในห้อง ประทับใจมากค่ะ,Positive
ห้องพักและการบริการดีมาก! อยู่ไม่ไกลจากสถานีรถไฟฟ้าบีทีเอส แต่คุณสามารถเรียกมอเตอร์ไซค์ไปบีทีเอสอารีย์ได้ สถานที่ก็ยอดเยี่ยมและฉันอยากจะพักที่โรงแรมนี้อีก!,Positive
ห้องพักของโรงแรมสะอาด ห้องของฉันค่อนข้างใหญ่และสะดวกสบาย โรงแรมปลอดภัย บรรยากาศดีมาก พนักงานเป็นกันเองและช่วยเหลือดีมาก สถานที่เหมาะสำหรับรถไฟฟ้าสถานีรถบัสและ 7-11 หากคุณมองไปรอบ ๆ โรงแรมจะใช้เวลาช่วงวันหยุด โรงแรมที่ไม่เหมือนใครแห่งนี้เป็นโรงแรมที่ฉันขอแนะนำ,Positive
การนอนหลับที่ยอดเยี่ยมเป็นสถานที่ที่ดีสำหรับการพักในกรุงเทพขอขอบคุณสำหรับการอัพเกรดห้องนอนจากขนาดเล็กไปจนถึงขนาดกลาง,Positive
"โรงแรมเพิ่งเปิดตัวครั้งใหญ่ในวันที่ 7 ต.ค. 2561 ดังนั้นทุกอย่างจึงเป็นแบรนด์ใหม่ พนักงานมีความเป็นมิตร และคุณมีน้ำนิ่งฟรีที่ล็อบบี้ (เติมขวดของคุณเอง) ข้อดี - ห้องพักและโรงแรมสะอาดและเป็นระเบียบ - สระว่ายน้ำสวย - สถานการณ์ที่เงียบสงบ (ไม่มีเสียงดัง) - 2 สถานีจากจตุจักร - พนักงานเป็นกันเองข้อเสีย - ช่องทีวีส่วนใหญ่เป็นไทย ดังนั้นฉันไม่เข้าใจเลย อาจเพิ่มบางอย่างเช่น HBO โลกดาราภาพยนตร์จิ้งจอก สิ่งต่างประเทศข้างช่องข่าว - สำหรับฉันมันค่อนข้างไกลจากรถไฟฟ้า ถ้าคุณไม่ชอบเดินมันก็เป็นการออกกำลังกาย อาจจะมีรถรับส่งฟรีไปยังสถานีรถไฟฟ้าบีทีเอสที่ใกล้ที่สุดในครั้งต่อไป? - อาหารเช้าเหมือนเดิมเสมอ (ฉันพัก 4 คืน แต่ก็ดีนะ) ไข่คุณสามารถเลือกได้ 4 แบบทอดต้มไข่เจียวและไข่กวน c. ขนมปังปิ้งหรือครัวซองต์ ไม่กี่ด้านเช่นสลัด, ผลไม้, มันฝรั่ง ฯลฯ e. ไส้กรอกหมูหรือเบคอน นม, น้ำส้ม, น้ำนิ่ง, กาแฟ, ชา (เลือก 2) - ร้านอาหารไม่มี 24 ชั่วโมงดังนั้นหากคุณหิวโหยในเวลากลางคืนคุณต้องออกไปข้างนอก มันมืดและเงียบนิด ๆ ในเวลากลางคืน แต่มี 7/11 ใกล้เคียง อาจจะเป็นในอนาคตคุณสามารถเพิ่มช่องทีวีมากขึ้นตัวเลือกอาหารเช้ามากขึ้นและรถรับส่งฟรีไปยังสถานีรถไฟฟ้าบีทีเอส ขอบคุณ",Positive
โดยรวมแล้วมันเป็นเวลาที่ดีที่จะใช้เวลากับช่างฝีมือในห้องความสะอาดและพนักงานก็ดี แต่มันก็ยังมีบางอย่างเช่นไม่มีตู้เย็นในห้องและอุณหภูมิของน้ำไม่เสถียร,Positive
โรงแรมในรายละเอียดของงานฝีมือ การบริการในใจดีมาก ห้องพักสะอาด แต่ไม่มีตู้เย็น ไม่คุ้มกับอาหารเช้า เดินจากรถไฟฟ้าบีทีเอส 15 นาที,Negative
ฉันชอบพักที่โรงแรมนี้! หาง่ายอยู่ 1 กม. จากตลาดนัดสวนจตุจักร พนักงานน่ารักและช่วยเหลือดี ห้องพักสะอาด ฉันสนุกกับทุกช่วงเวลาที่นี่ จะกลับมาพักที่นี่เมื่ออยู่ในกรุงเทพ!,Positive
"The hotel is great, feeling cozy yet very artistic. I like that even though the room is small but there is a big bathtub that can fit 2 grown-ups. Unfortunately, it was not allowed to use the pool.",Neutral
Good โรงแรมใหม่ วิวสวย ห่างจาก บีทีเอส อารีย์ประมาณ 500 ม. ที่จอดรถในโรงแรมหายากนิดนึง,Neutral
ดีมากๆๆๆๆ จะกลับมาพักอีก เวลาเข้า กรุงเทพฯ,Positive
ห้องพักสะอาด พนักงานบริการดีมาก ยิ้มแย้ม อาหารอร่อย ที่จอดรถสะดวกสบาย เดินทางง่ายมากๆ,Positive
ห้องตรงปก ใหญ่มากค่ะ มาที่นี่ 2 ครั้งแล้ว ชอบค่ะ,Positive
ผนังห้องบางแถมเหม็นบุหรี่มากค่ะ ปวดหัวนอนไม่ได้เลย,Neutral
สะดวก สะอาด บริการโอเค ห้องดี,Positive
สะดวก สบายดี สะอาด บริการดี,Positive
บริการดี อาหารอร่อย วิวดี ดีทุกอย่างค่ะ 10/10,Positive
ชอบมากห้องกว้างวิวเมืองสวย เตียงใหญ่,Positive
ดีมากๆครับ พักประจำครับ พนักงานบริการดีครับ อาหารเช้ามีให้เลือกเยอะครับ,Positive
บริการดีเป็นกันเองห้องใหญ่เตียงใหญ่หาของกินง่ายเดินทางสะดวกด้วยรถไฟฟ้า,Positive
ห้องกว้าง สะอาด โล่งโปร่ง และราคาไม่แพง แนะนำเลยครับ,Positive
ไม่ชอบตรงที่ในห้องน้ำไม่มีที่ระบายอากาศ ความสะอาด นอนสบายให้ในระดับกลาง ความสะดวกในการเดินทางคือสะดวกมาก พนักงานหน้าเค้าเตอร์ไม่ค่อยยิ้ม แต่พนักงาน รปภ.ขนย้ายบริการดีมากคะ,Neutral
ดีมาก พนักงานให้บริการดีมาก สุภาพมาก ห้องพักสะอาด แม่บ้านทำงานตลอด อัธยาศัยดี เดินทางสะดวก กลับไปพักอีกแน่นอนค่ะ ใครกำลังหาที่พักดีๆราคาไม่แพง แนะนำเลยค่ะ,Positive
ดีย์ มาก เเบบอยากไปนอนอีกทุกวันคือดีไม่ไหว,Positive
ดี I love ประทับใจอยากไปพักอีก,Positive
บริการไม่ดี ไม่โอเคคับ สู้ลาดพร้าวไม่ได้,Negative
พนักงานงานชายบริการแย่ พูดจาและบริการควรได้รับการอบรมให้มากกว่านี้ พอลูกค้าเยอะ พนักงานค่อนข้างละเลยในการให้บริการ,Negative
ดีมากบริการดีห้องใหญ่เงียบสงบหาของกินได้,Positive
ดีมากๆครบครันเป็นโรงแรม 5 ดาวที่บริการ ติดถนนห้องสะอาดเตียงใหญ่,Positive
ที่พักดีมากครับติดถนนใหญ่สะดวกสบายบริการดี,Positive
ดีทุกอย่างตรงปก ที่จอดรถน้อยไปหน่อยค่ะ ต้องวนขึ้นชั้นสูงแอบเวียนหัว นอกนั้นดีทุกอย่างค่ะ กลับไปพักอีกแน่นอน เรื่องที่จอดวัดดวงเอาค่ะ,Neutral
สบาย บรรยากาศดี สะอาด พนักงานต้อนรับดีมาก,Positive
ดีมาก สะอาด ตอนรับดี เงียบสงบไม่เสียงดัง,Positive
ห้องสะอาด กว้างขวาง บริการไวค่ะ ทำเลสะดวกมีทั้ง7-11 และสตาบัคค่อนข้างหาของกินง่ายดีค่ะ,Positive
ดีมากๆค่ะ ทุกอย่างตรงปก สวยคุ้มเกินราคา ไม่คิดว่าจะเจอ ที่พักดีดี ราคานี้ในอารีย์,Positive
บริการดีค่ะ เช็คอินเช็คเอ้าท์เร็ว อาหารเช้าดีพอใช้ เตียงหลับสบาย มีสระเด็ก,Positive
ถ้าเทียบกับโรงแรมในเครือ UHG อีกโรงแรมที่ไปพักมา โรงแรมนี้คือ Luxury มากเมื่อเทียบกับราคา มี BTS อารีย์อยู่ใกล้ๆประมาณ 500 เมตร ถ้ามีโอกาสจะกลับไปพักอีกครับ,Positive
ห้องพักสะอาด วิวเมืองสวย เหมาะกับการพักผ่อนมาก เดินจาก BTS อารีย์ไม่ไกล,Positive
ใจกลางเมือง มีร้านอาหารร้านสะดวกซื้อด้านล่าง ใช้อาคารร่วมกับสำนักงานเช่า ลิฟท์จากชั้นจอดรถคนเยอะไปหน่อย,Positive
ที่พักหรู วิวห้องสวยงาม การบริการที่ดีเยี่ยม อาหารเช้าที่มีหลายเมนูให้เลือกทาน ประทับใจ จะกลับไปพักอีก,Positive
ห้องพักสะอาดมากๆครับ ไว้มีโอกาสจะกลับมาใช้บริการใหม่,Positive
ห้องสะอาด ราคาไม่แพง คุ้มค่ามาก ภายในอาคารมีทั้ง starbuck 7-11 the pizza,Positive
ห้องสวยสะอาดราคาดี วิวเด็ดมากๆ,Positive
ห้องพักดีมากค่ะ ถึงขนาดจะไม่ได้ใหญ่มาก แต่มีทุกอย่างครบ เตียงนอนสบาย เงียบสงบดีค่ะ มีสระว่ายน้ำด้วย มีเวลคัมดริ้งด้วย พนักงานบริการดี ลิฟต์เร็วมาก เยี่ยมเลยค่ะ จะกลับมาพักอีกค่ะ,Positive
ห้องสะอาด กว้างขวาง ไม่อึดอัด กระจกใสห้องน้ำมีม่านปิดให้นะ มีอุปกรณ์ครบ กาน้ำร้อน ไดร์เป่าผม ตู้เย็น และไมโครเวฟ ที่สำคัญมีปลั๊กไฟแทบทุกมุมห้อง ชอบมากๆ อาหารเช้าหลากหลาย เข้ามาพัก 2 คืนพาแม่มาหาหมอตามนัดที่รพ.รามา ยังพอมีที่จอดรถให้ในวันธรรมดา แม่ติดใจชอบมากบอกมาคราวหน้าจะมาพักที่นี่อีก ปล.พนักงานสุภาพ มารยาทดีครับ,Positive
พักที่นี่เป็นประจำ สบาย รวมๆคือดีค่ะ,Positive
ห้องดี วิวดีมาก นอนดูวิวได้ตั้งแต่บนเตียง ขึ้นไปรูฟท็อปก็ยิ่งดีมาก ที่สำคัญที่สุดพนักงานดีมาก โดยเฉพาะรีเซฟชั่นที่ชื่อโรส เราทำพระหายในห้อง พนักงานก็ตามหากันใหญ่ จนทุกคนบอกว่าคงไม่ได้คืนแล้ว จนเราถอดใจ แต่เค้าก็ยังตามกันต่อจนได้คืน น่ารักมากจริงๆ ขอบคุณอีกครั้งด้วยคะ มาพักกันได้ปลอดภัยทั้งคนทั้งของจริงๆคะ,Positive
ดีมาก ชอบมาก สะดวกสบาย พนักงานบริการเยี่ยม สิ่งอำนวยความสะดวกดีสุดๆ สระว่ายน้ำสวยมาก,Positive
ผ้าเช็ดตัวแขกคนเก่ายังอยู่ในห้องพักอยู่ ตอนเข้าพัก,Positive
ห้องพักสะอาด พนักงานบริการดีมากๆค่ะ,Positive
โรงแรมดีมากค่ะ ห้องใหม่ กว้างและสะอาด เดินทางง่าย ด้านล่างมีเซเว่นและร้านอาหาร ไม่ใกล้จากบีทีเอสมาก โรงแรมมีที่จอดรถค่ะ แต่ถ้าจอดคิดเพิ่ม 100บ./คืน/คันค่ะ,Positive
ดีมาก ทุกอย้างดี จะมาอีกค่ะ,Positive
ที่พักดี สะอาด เดินทางสะดวกค่ะ,Positive
ห้องสะอาด ขนาดกำลังดี ปลั๊กไฟมีทุกจุดที่จำเป็นต้องใช้ นั่นหมายความว่าการออกแบบห้องดีมากค่ะ อาหารเช้าหลากหลาย สระว่ายน้ำวิวสวย ฟิตเนส ซาวน่าครบครัน ที่สำคัญพนักงานบริการได้อย่างดีเยี่ยมทุกส่วนเลยค่ะ ชอบมากค่ะ ครั้งหน้าไปกทม.ที่แรกที่ตัดสินใจจะไปพักคือที่นี่อีกแน่นอนค่ะ !,Positive
ที่พักดี สระน้ำสวย บริการดีมาก ไปพักบ่อยมากค่ะ ข้าวล่างมีสตาบั้ค เซเว่น ที่ท่องราตรีก็เพียบ แจ๋วเลย,Positive
บรรยากาศดีมากครับ มาเข้าพักที่นี่บ่อยมาก,Positive
ห้องพักสะอาด พนักงานบริการดี วิวสวย เดินทางมาสะดวก,Positive
พนักงานพูดจาดี ห้องใหญ่ สะอาด มีสิ่งอำนวยความสะดวกครบครัน วิวดี,Positive
ห้องดี แต่ห้องน้ำระบายไม่ทัน ลานจอดรถสวนกัน และหาที่จอดยากไปหน่อย,Positive
โรงแรมสะอาด วิวสวย บริการดีมากค่ะ,Positive
ห้องพักใหม่ สะอาด กว้าง พักที่ชั้น 31 วิวสวย การเดินทางสะดวก ใกล้ BTS ชั้นล่างของตึก มีร้านสะดวกซื้อ กาแฟ อาหารครบ,Positive
บริการดี ประทับใจ สะอาดและสะดวกสบายค่ะ,Positive
ดีทุกอย่างค่ะ รับรองไม่ผิดหวัง,Positive
ชอบมาก ห้องพักโปร่งสบายหรูหราดี,Positive
พนักงานต้อนรับพูดคุยดีมาก ห้องสะอาด ทำเลดีใกล้ป้ายรถเมล์และ bts,Positive
ที่พักสะดวกในการเดินทาง ห้องพักใหม่และสะอาด พนักงานยิ้มแย้ม ได้พักชั้น 28 ห้องพักวิวดี สวยทั้งกลางวันและกลางคืน,Positive
พนักงานพยายามขึ้นราคาค่าขนส่งโดยเพิ่มค่าทางด่วน แต่จริงๆ แล้วไม่มี น้ำยาทำความสะอาดขโมยเสื้อ Lacoste ของพ่อแม่ฉันไป ไม่สามารถซ่อนมันไว้ได้เพราะมันพันอยู่กับเสื้อพี่ชายของฉัน แต่มีเพียงเสื้อตัวเก่าที่หายไปเท่านั้น น่าผิดหวังมาก พยายามติดต่อเจ้าหน้าที่ทางอีเมลและเฟสบุ๊คแต่ไม่มีการตอบกลับ!,Negative
โรงแรมสวยพร้อมห้องพักและบริการที่สวยงาม อย่างไรก็ตามห้องน้ำมีกลิ่นเหม็น บุฟเฟ่ต์อาหารเช้าอร่อยเสมอ,Positive
"Good Service Hotel. ตั้งอยู่ใกล้กับร้านอาหารมื้อเย็น, ทำความสะอาดอาหารทุกห้อง",Positive
ห้องพักใหญ่และสะอาด อาหารอร่อย. สระว่ายน้ำยอดเยี่ยม เรามีความสุขกับการเข้าพักที่นี่ โรงแรมนี้ขอแนะนำอย่างยิ่ง,Positive
บรรยากาศดีและอาหาร ห้องพักเป็นระเบียบเรียบร้อยจริงๆ,Positive
ทำเลที่ตั้งดีเยี่ยมวิวและพนักงานน่ารัก ห้องพักมีขนาดกำลังดีและสะอาด,Positive
"วิวสวยและอาหารเช้าอร่อยมาก อยากจะแนะนำเพราะมันอยู่ในใจกลางของกรุงเทพฯ ใกล้สถานีรถไฟฟ้าบีทีเอสและอาหารสามารถเดินไปได้ ฉันจะกลับไปจริงๆ ที่จริงแล้วเราเช็คอินก่อนหน้าจากเวลาจองเราจ่ายเพิ่มอีก 1,000 บาท แต่ก็โอเค พวกเขาให้เรารอในล็อบบี้และกระเป๋าเดินทางของเราเพื่อความปลอดภัยเราจึงนอนหลับได้ พนักงานของพวกเขาเป็นมิตร ฉันชอบทุกอย่างเกี่ยวกับโรงแรมนี้ จะจองที่นี่อีกแน่นอนเมื่อเรากลับไปที่กรุงเทพ!",Positive
โรงแรมสวยสะอาดและใกล้ร้านอาหารใกล้ห้างสรรพสินค้าและ starbuck การออกแบบที่ดี,Positive
