,Review,Label
15,โรงแรมแห่งนี้ตั้งอยู่หลังตึกใบหยก อยู่ใกล้กับตลาดประตูน้ำและศูนย์การค้าแพลทินัมแฟชั่นจึงเป็นทางเลือกที่ยอดเยี่ยมสำหรับนักช็อปปิ้ง นอกจากนี้ยังมีลิฟท์และระยะทางไปยังห้องพักทุกห้องอยู่ใกล้มากดังนั้นคุณจึงไม่ต้องกังวลกับการนำสัมภาระหนักมาใช้ในห้องของคุณ ไปช้อปปิ้งบ้า,Positive
16,สถานที่ที่ดีที่สุด บริการที่ดี ห้องพักที่ดี,Positive
17,โรงแรมอยู่ใกล้กับสถานีรถไฟห้างสรรพสินค้าขนาดใหญ่และแหล่งช้อปปิ้ง มันเป็นโรงแรมราคาประหยัดที่ดี อย่างไรก็ตามพนักงานต้อนรับไม่ค่อยเป็นมิตรไม่เป็นประโยชน์แม้แต่สุภาพ,Positive
18,โรงแรมราคาถูกลิฟท์ wifi ชะลอตัว อาหารเช้าไม่อร่อย bit ห้องขนาดเล็ก แต่สะอาด,Positive
19,lah ok แต่สถานที่มันค่อนข้างได้รับเข้าไปในซอยเล็ก,Negative
20,สะอาดและน่ารื่นรมย์ตรงตามความคาดหมายของฉัน,Positive
21,สถานที่ที่ดีและห้องที่สะอาดดีมาก,Positive
22,ที่สะอาดและสะดวกสบายมาก ขอแนะนำสำหรับbackpacker,Positive
23,พอใจที่จะอยู่ที่นี่แม้จะต้องเดิน เมตรถึงตลาดประตูน้ำ,Positive
24,ฉันไม่พอใจกับโรงแรมนี้ด้วยเหตุผลต่อไปนี้ประการแรก โรงแรมเก่า ประการที่สองพนักงานทำความสะอาดขโมยของใช้ของฉัน อาหารเช้ายังไม่อร่อย ใกล้ใจกลางประตูน้ำ,Negative
25,ใน วัน วันที่จะปีนบันไดที่จะใช้ wifi ชั้น ไม่สามารถเข้าถึงได้,Negative
26,ผมพอใจกับราคาที่สมน้ำสมเนื้ออยู่ใกล้กับเมืองสถานที่ช้อปปิ้งอาหารที่สะดวก,Positive
27,ไม่เลวสำหรับผู้โดยสารที่จะนอนหลับดองมาห์,Negative
28,ห้องเก่า สีดำ เหม็น อินเตอร์เน็ตไร้สายที่ไม่เสถียร,Negative
29,อาหารดีโดยเฉพาะชุดอาหารเช้า,Positive
30,สถานที่ที่ตกลงทุกวันโดย ml น้ำ ขวดเช่นกัน,Positive
31,ลิฟต์เสียแล้ว ต้องนำกระเป๋ามาด้วยตัวเองที่ชั้น,Negative
32,ซึ่งเป็นราคาที่ถูก แต่ไม่ได้ราคาถูกสะดวกสบายและการอยู่ร่วมกัน,Positive
33,โรงแรมที่ดี สถานตกลงกลับไปพนักงานร่าเริง,Positive
34,พนักงานไม่พูดภาษาอังกฤษได้เป็นอย่างดีคำถามมากมายเกี่ยวกับบางสิ่งบางอย่างปัญหาเรื่องยากมากที่จะใช้ภาษากายเป็นจำนวนมากสำหรับพวกเขาที่จะเข้าใจ แต่นอกเหนือจากทุกอย่างที่มีความสะดวกสบาย co จะกลับมาถ้า กรุงเทพมหานคร,Positive
35,โรงแรมเดินป่าแล้ว เสถียรภาพด้านราคา wifi เลวร้ายเกินไป เธอน่าพอใจทั้งหมด,Positive
36,พนักงานที่ไม่สุภาพและไม่ช่วยเหลือที่ฉันเคยรู้จัก,Negative
37,เหมาะสมกับห้องพักมีกลิ่นไม่พูดถึงในห้องของเขากลิ่นของค้าง,Negative
38,เป็นสถานที่ที่สะอาด เพียงแค่เป็นสัญญาณเล็ก น้อย ในซอย ที่นอนเดียวค่อนข้างเล็ก,Negative
39,บริการไม่ดีหลังจาก ไม่ได้ให้บริการห้องน้ำและให้ลูกค้าเดินจากชั้น ถึงชั้น เครื่องปรับอากาศไม่ดีมาก,Negative
40,โรงแรมที่สะดวกสบาย เงียบ พนักงานบริการที่ดี,Positive
41,เมื่อเข้าไปในล็อบบี้กลิ่นของธูปต่อยครั้งเดียว อินเตอร์เน็ตไร้สาย lalod แต่อาหารเช้าเป็นสิ่งที่ดีงามแล้วปิดถ้าคุณต้องการที่จะไปช้อปปิ้งกับตลาดประตูน้ำหรือทองคำขาว,Positive
42,โรงแรมเก่า แต่ห้องพักไม่ได้เลวร้าย ราคาที่ดีเป็นจุดบวกติดกับสถานีรถไฟฟ้าใต้ดิน mrt สามารถไปจากสนามบิน suvanibumi กทม จะมาที่นี่,Positive
43,เอาล่ะ lah ข้อความ td ของเขา ห้อง แต่ก็ถูกแทนที่ด้วยวีไอพี,Negative
44,ใกล้ศูนย์กันเองสะอาดราคาตกลง,Positive
45,บริการทำความสะอาดไม่จำเป็นต้องสบู่และแชมพู,Negative
46,สะดวกสบายสะอาดและสถานที่ที่ดีที่สุด,Positive
47,มีความสุขมากที่สยามโรงแรมสตาร์โดยรวมที่ดีและสะดวกสบาย แนะนำสำหรับการแบ็คแพ็ค,Positive
48,โดยรวมที่ดี แต่พนักงานต้อนรับก็ไม่เป็นมิตร ไม่มีคำทักทายจากเธอเมื่อเช็คอิน,Negative
49,ใกล้กับตลาดประตูน้ำแม้ว่าบริการที่เป็นมิตรน้อยเป็นอันเขียนที่บ้านไปที่บ้านของเขาเอง,Positive
50,เป็นสถานที่ที่สะดวกสบายและสะอาด ใกล้กับสถานี arl,Positive
51,พวกเขาให้ดีที่สุดของพวกเขา ผมจะเปิดโดย,Positive
52,โรงแรมสะอาดสะดวกสบายราคายังมีราคาถูกเหมาะสำหรับ backpekeran jalan ที่ต้องการค่าใช้จ่ายที่ประหยัดและแรงงาน ramah,Positive
53,นั่นคือเจียมเนื้อเจียมตัว โรงแรมระดับมาตรฐานขนาดเล็กไม่สะอาด แต่ค่อนข้างสะดวกสบาย,Negative
54,การบริการที่ดีโรงแรมอยู่ใกล้กับแหล่งช้อปปิ้ง,Positive
55,สถานที่ที่ดี เพราะใกล้กับตลาดประตูน้ำ,Positive
56,สถานที่ตั้งเป็น convinent มากใกล้ประตูน้ำ บิ๊กซี,Positive
57,บริการที่ดีและพนักงานต้อนรับเป็นอย่างดี เหมาะสำหรับการแบกเป้,Positive
58,ภาพเพื่อเป็นตัวอย่างเท่านั้น ผิดหวัง,Negative
59,โรงแรมสามารถเดินทางไปยังศูนย์ในราคาที่เหมาะสม,Positive
60,สถานที่ตั้งโรงแรมใกล้กับสถานีรถไฟในเมือง แต่ wifi ไม่ได้ทำงานบนชั้น,Negative
61,สถานที่ตั้งอยู่ใกล้กับประตูน้ำเพียง nyempil โรงแรมของเขาเพื่อให้เป็นบิตยากที่จะหา,Positive
62,ไม่มี wifi ผู้เข้าพักจะเคาะห้องทำความสะอาดจะถูกบรรจุเสื้อผ้าปิดไฟ ไม่มีตู้เย็น เครื่องปรับอากาศไม่ทำงานได้ดี เครื่องปรับอากาศก่อนประวัติศาสตร์,Negative
63,โรงแรมที่อยู่ใกล้กับซูเปอร์มาร์เก็ตและรถไฟฟ้าเชื่อมท่าอากาศยานสุวรรณภูมิ แต่พนักงานไม่อ่อนน้อมถ่อมตนเพื่อ,Positive
64,สถานที่ตั้งที่ดีเยี่ยมสำหรับการช้อปปิ้ง,Positive
65,ขอตำหนินิดนึงคะ ในพื้นห้องยังมีเส้นผมเป็นกำร่วงอยู่เหมือนทำความสะอาดไม่หมด,Negative
66,พนักงานบริการดี เช็คอินไว ตอนแรกน้ำอุ่นไม่ทำงานก็ไปแจ้งที่ฟร้อน พนักงานก็แก้ไขให้ ไม่ติดปัญหาอะไรค่ะ ห้องพักสะอาด นอนสบาย แต่เตียงเป็นแบบมีล้อข้างล่าง พอดีแฟนตัวใหญ่เวลาขยับตัวแรงเตียงจะมีเลื่อนบ้างเล็กน้อย แต่โดยรวมก็คุ้มค่า,Negative
67,บริการแย่มาก คงเห็นว่าเป็นคนไทย,Negative
68,ได้พักคืน พนงดี ห้องสะอาด เก็บเสียง มีรถสามล้อของรรบริการรับส่งฟรี น้ำในห้องน้ำแรงดี ขาดแต่ในห้องไม่มีกาแฟให้ นอกนั้นดีหมดเลยจ้า,Negative
69,ประทับใจการทำงานของน้องเหน่งแผนกต้อนรับทั้งการแนะนำเส้นทาง การอัพเกรดห้อง บริการด้วยคำพูดที่สุภาพมากหน้าตายิ้มแย้มรวมทั้งพนักงานขับรถตุ๊กรับส่งที่บริการด้วยความสุภาพยิ้มแย้มแม้อากาศจะร้อน อบอ้าวมากห้องก็ดีสมราคา สะอาดน้ำไหลแรงดี แอร์เย็นดี ถ้ามีโอกาสจะไปพักอีก ขอบคุณมากค่ะ,Positive
70,พนักงานต้อนรับ พนักงานขับตุ๊ก บริการดี รับส่ง ปากซอยฟรี ทุกอย่างโอเคมากคะ มีโอกาสไปอีกแน่นอน,Positive
71,รถโรงแรมไม่มีคนขับตลอด พอบอกให้ไปส่ง พาไปส่งไม่ถึงหน้าปากซอย ในนี้บอกห่างbtsพญาไทkm ความจริง km แต่ห้องพักเงียบดี ได้ยินเสียงคนเดินนิดหน่อย ถ้าพัฒนาเรื่องการรับส่งจะดีมากค่ะ,Negative
72,แอรไม่เย็นเลย อยุ่ลึกไปหน่อยแต่มีรถรับส่ง วันที่ไปรถเสียต้องเดินเอา,Negative
73,พนักงานต้อนรับดีมากเลยค่ะ บริการดี ห้องสะอาดดีค่ะ ไว้จะกลับมาพักอีก,Positive
74,ห้องกว้าง สะอาด เงียบ เหมาะแก่การพักผ่อน ไม่มีหมวกอาบน้ำ ถามการเดินทางไปbts พนักงานแจ้งว่ามีรถตุ๊กของไปส่งใกล้bts แต่พอจะไปพนักงานกลับบอกว่า ใกล้เดินไปก็ถึง ถ้าลองไปจะรู้ว่าใกล้แค่ไหน,Positive
75,สถานที่อยู่ใกล้กับ bts พญาไท แต่ว่าอยู่ในซอยค่อนข้างซับซ้อนนิดหน่อย ที่จอดรถมีอยู่บริเวณหน้าโรงแรมนิดหน่อย อาหารเช้าไม่ค่อยหลากหลาย พนักงานบริการดี ห้องกว้างขวาง,Positive
76,ห้องสะอาดดีค่ะ แต่จองยากไปหน่อย,Positive
77,ห้องพักสะอาดดีค่ะ พนักงานขับรถรับส่งบริการดีมากค่ะ แต่พนักงานต้อนรับบางคนพูดจาไม่เพราะค่ะ ทุกอย่างโอเคหมดน่ะค่ะ,Positive
78,ห้องพักดี พนง เป็นกันเอง บริการดี ห้องสะอาด กว้างแต่ทางเข้าแอบงงหน่อย ถ้างงก็โทรไปถามได้นะคะจริงก็ใกล้กับบีทีเอส ส่วนอาหารเช้าก็อร่อยดีค่ะ เมนูไข่สั่งทำร้อนได้ด้วยค่ะ,Positive
79,โดยรวมแล้วโอเคค่ะ เหมาะสมกับราคา,Positive
80,เจ้าหน้าที่อัธยาศัยดีมาก ทุกจุดบริการ,Positive
81,ราคาเหมาะสม ห้องพักดี แนะนำให้พักที่นี่ถ้ามาย่านประตูน้ำ,Positive
82,ไกลและลึกค่อนข้างมาก เดินทางลำบาก,Negative
83,ห้องสะอาด ใหม่ มีรถสามล้อรับส่งปากซอย เดินทางค่อนข้างลำบาก,Negative
84,ดีค่ะ ทุกอย่างเลย แต่เข้าไปโรงแรมไกลหน่อย น่าจะมีรถรับส่งตลอดนะคะ วันนั้นเช็กเอาต์ตอนตี เพราะมีบินต่อ พนักงานหน้าเคาน์เตอร์แจ้งว่ารถบริการส่งลูกค้าหยุดส่งตอนเที่ยงคืน เราเลยเดินออกมาจากซอยตอนตี เปลี่ยวมาก แต่ทุกอย่างโอเคค่ะ ไปอีกแน่นอน,Positive
85,ไกลจากปากซอย แต่ก็มีรถตุ๊กตุ๊กบริการ,Negative
86,เดินทางสะดวก โรงแรมอยู่ในแหล่งช็อปปิง ใจกลางกรุงเทพ ห้องพักสะดวกสบาย,Positive
87,ห้องพักสบายและสะอาดมากค่ะ แต่ถ้าเดินจากบีทีเอสพญาไท จะค่อนข้างไกลนิดนึงค่ะ,Positive
88,ดีมากการเดินทางอาจจะไกลเล็กน้อย,Positive
89,สะอาด ห้องพักดี สภาพใหม่ แต่อาจเข้าซอยลึก,Negative
90,สะดวก เดินทางสะดวก ใกล้ย่านการค้า ถึงจะอยู่ในซอย ก็มีบริการรถรับส่งปากซอย ห้องนอนสะอาด ปลอดภัยค่ะ,Positive
91,จากบีทีเอส เดินไกลนิดหน่อย แต่พนักงานบริการดีค่ะ,Positive
92,ชอบมาก ไปไหนมาไหนง่าย,Positive
93,ดีค่ะ พนักงานบริการดี น่ารักทุกส่วนค่ะ อ้อ มีบริการรถตุ๊กด้วยนะคะ,Positive
94,บริการดีค่ะ แต่ทางเข้าค่อนข้างน่ากลัว,Positive
95,สภาพโรงแรม การบริการ โอเคนะคะ ชอบ และเดินทางสะดวก,Positive
96,ไม่ดีที่สุด แต่ก็ไม่ใช่การเข้าพักที่แย่ที่สุด ฉันได้สิ่งที่ฉันจ่ายไป มาถึงโรงแรมเวลา น ได้รับการต้อนรับโดยเจ้าหน้าที่รักษาความปลอดภัย คนซึ่งมีเอกสารการเช็คอินของเราและช่วยให้เราเช็คอิน เพราะไม่มีใครอยู่ที่เคาน์เตอร์พนักงานต้อนรับ สิ่งที่ดี โรงแรมสะอาดและเหมาะสม เตียงขนาดใหญ่ ใหญ่กว่าขนาดคิงไซส์ สิ่งอำนวยความสะดวกครบ ทีวี ตู้เย็น อ่างอาบน้ำ โซฟาเดี่ยว โต๊ะเครื่องแป้ง เครื่องทำน้ำอุ่น อุปกรณ์อาบน้ำ สบู่ แชมพู เจลอาบน้ำ และ wifi ความเร็วสูงทุกชั้น ทำเลสะดวกมาก สามารถเดินไปตลาดประตูน้ำ bts พญาไท แต่คุณต้องขอ ทางลัดลับ จากพนักงาน มิฉะนั้นคุณจะถูกกำหนดเส้นทางไปไกลโดย google map สิ่งที่ไม่ดี แสงไฟในห้องมืดไปหน่อยสำหรับฉัน ดังนั้นจึงเพิ่มบรรยากาศเหมือนผี ไฟหลัก ดวงในห้องนอนก็ดับด้วย ต่างจากโรงแรมอื่น ที่ฉันเคยไปมา เราต้องขอบริการทำความสะอาดห้องด้วยตนเองโดยแขวนป้ายไว้ที่ประตู มิฉะนั้นพวกเขาจะคืนค่ากาแฟ อุปกรณ์อาบน้ำ ขวดน้ำโดยไม่แตะต้องสิ่งอื่นใดในห้อง เห็นได้ชัดว่าพวกเขามีส่วนร่วมกับทีมบริการทำความสะอาดภายนอก เราจึงไม่สามารถขอสิ่งอื่นใดได้ เช่น การทำความสะอาดเฉพาะกิจ ผ้าเช็ดตัวห้องน้ำเพิ่มเติม หลังจากหมดชั่วโมงทำงาน,Negative
97,พนักงานต้อนรับดี เห็นว่าเรามีสัมภาระเยอะ และเธอขออัพเกรดห้องได้ห้องที่ใหญ่กว่านี้,Negative
98,โรงแรมอยู่ใกล้ระดับและสถานที่กินค่อนข้างใกล้กับแพลตตินั่ม,Positive
99,ทำเลยุทธศาสตร์ใกล้ bts อาหารก็ค่อนข้างดีราคาไม่แพงใกล้ห้างสรรพสินค้าแฟชั่นและตลาดกลางคืนประตูน้ำ,Positive
100,โรงแรมนี้พอใจมากมาก ห้องพักสะอาด แต่มันลึกลับไปหน่อยเพราะมันไม่สามารถเปิดประตูได้ เคล็ดลับคือฉันมักจะนำแพคเกจห้องพักที่มีกลิ่นหอมเพื่อกลิ่นที่ดีกว่า ถ้าคุณทำตามแผนที่ gg มันไกลมากโรงแรมมีเครื่องชงกาแฟฟรีน้ำเติมฟรี ในขวดแก้ว ทุกวันมีรถตุ๊กตุ๊กฟรีไปยังเลนที่ใกล้ที่สุดหรือร้าน eleven เขาขับรถตุ๊กตุ๊กและขนกระเป๋าเดินทางอย่างกระตือรือร้น,Positive
101,แนะนำสำหรับทุกคนถ้าคุณต้องการพักกับสิ่งอำนวยความสะดวกที่ดีรวมถึงรถตุ๊กตุ๊กฟรี พื้นที่ จำกัด และเครื่องดื่มฟรีที่ล็อบบี้,Positive
102,ห้องพักสะดวกสบายมาก จากห้องพักคุณสามารถเห็นรถไฟฟ้าผ่านมูลูทุก นาที นั่นเป็นมุมมองที่ดีมากสำหรับฉันในตอนกลางคืน นอกจากนั้นห้องพักตามภาพในห้องนั้นกว้างขวางและสะอาด ทุกวันถ้าคุณขอการทำความสะอาดมันจะถูกทำความสะอาด พนักงานต้อนรับเป็นมิตรและยินดีให้ความช่วยเหลือหากเรามีปัญหาใด,Positive
103,ครั้งแรกที่กรุงเทพพยายามเข้าพักที่โรงแรมที่น่ารื่นรมย์แห่งนี้แม้ว่าคุณจะเข้ามาในซอย แต่จนถึงตอนนี้คุณสามารถรับรถตุ๊กตุ๊กฟรีได้จนกว่าถนนใหญ่จะคุ้มกับราคาของโรงแรม ห้องพักทำความสะอาดทุกวันและไม่มีน้ำแร่,Positive
104,วิวดีห้องพักกว้างขวางและสะดวกสบาย,Positive
105,โรงแรมที่มีการบริการที่ดีในระดับห้องพักมีขนาดกว้างขวางกว่าโรงแรมที่มีราคาแพงกว่าแม้ว่าการตกแต่งภายในจะไม่ใหม่ แต่ในความคิดของฉันมันไม่สำคัญในขณะที่ทุกอย่างทำงานได้อย่างถูกต้องมีเพียงหนึ่งที่ทำให้พอใจน้อย,Negative
106,แหล่งท่องเที่ยวมากใกล้อาหารฮาลาล,Positive
107,ห้องพักกว้างขวางเตียงคู่ที่ คนนอนได้ ไม่สามารถใช้ทีวีได้ ค่อนข้างไกลจากประตูน้ำ เลนค่อนข้างลึกดังนั้นจึงไม่ยากที่จะเดินโดยไม่มีรถตุ๊กตุ๊ก,Negative
108,ผู้ชายที่แผนกต้อนรับค่อนข้างหยาบคายเมื่อเราขอให้เขาจองเราคว้าไปสนามบินเขาไม่ได้จองเราแทนเขาให้เราแท็กซี่ซึ่งเราจ่ายในราคาสูง ดังนั้นเราจึงสมมติว่าเขาได้รับเงิน โทวโรงแรมใกล้ตลาดประตูน้ำทำเลที่ตั้งดีเยี่ยม,Negative
109,โรงแรมยอดเยี่ยมมากพนักงานเป็นมิตรและเป็นมิตรมากและกระตือรือร้นมาก โรงแรมมีกลิ่นหอมมากห้องพักโอเคมากไม่มีอะไรให้บ่น,Positive
110,ฉันพอใจที่โรงแรมนี้ราคาเหมาะสมบริการก็มีประโยชน์มากสถานที่สะอาดทำเลที่ตั้งอยู่ใกล้กับตลาดประตูน้ำเชิงกลยุทธ์ห้องพักค่อนข้างใหญ่เครื่องปรับอากาศเท่านั้นไม่เย็น แต่โดยรวมแล้วฉันจะกลับมาอีกครั้ง,Positive
111,ฉันมีความสุขที่สุดที่นี่ พนักงานให้ความช่วยเหลือจริง ห้องพักสะอาดจริง,Positive
112,โรงแรมของทุกคนดี หนึ่งเดือน ครั้งถึงกรุงเทพจะอยู่ที่นี่เสมอ,Positive
113,เราพักที่ชั้น ของห้องด้านลิฟท์ห้องโอเคก็โอเค แต่แผ่นมีรูผนังในมุมก็แตกเล็กน้อยทีวีมีช่องหัก แต่มันไม่สำคัญว่าช่อง cuna ก็โอเค ดังนั้นเราจึงถ่ายรูปในกรณีที่มีคนคิดว่าเราสร้างความเสียหาย แต่ไม่มีปัญหาไม่มีข้อมูลเกี่ยวกับผ้าเช็ดตัวและเครื่องเป่าผม แต่มีต้นฉบับอยู่ที่นี่เพราะที่นี่แผนที่ไม่ถูกต้องเพราะมีทางหลวงหลายสายที่อยู่ไกลออกไป ทำไมฉันพักที่นี่ในราคานั้น,Negative
114,ห้องมืดมากไม่เหมือนห้องคู่ของฉัน และแอร์ก็ตั้งไว้ที่ องศาถ้าคุณตั้งไว้ต่ำกว่า องศาเครื่องปรับอากาศจะรั่วฉันไม่ทำไมพวกเขาไม่เปลี่ยนแอร์,Negative
115,พนักงานต้อนรับนั้นเป็นมิตร แต่เธอจะตำหนิเครื่องปรับอากาศของพวกเขาจากระยะไกลแตกและตำหนิให้กับลูกค้า และเครื่องปรับอากาศของพวกเขาก็ตั้งอยู่เหนือระดับ องศาถ้าคุณตั้งไว้ภายใต้ องศาเครื่องปรับอากาศจะรั่วฉันไม่ได้ทำไม แอร์,Negative
116,ฉันมีความสุขมากกับทุกสิ่ง พนักงานโรงแรมเป็นกันเองมาก ทำเลที่ตั้งของโรงแรมสะดวกในการเดินทางไปยังบีทีเอสหรือตลาดหากคุณรู้ทางลัด และมีรถตุ๊กตุ๊กฟรีไปยังถนนสายหลัก,Positive
117,เครื่องปรับอากาศไม่สามารถปรับอุณหภูมิพวกเขายังแยกทั้งคืนสวิตช์ไฟก็หักและไม่สามารถปิดก๊อกน้ำในห้องน้ำก็ติดอยู่เปิดและเปิดค่อนข้างยาก,Negative
118,ที่ดีที่สุดสำหรับการพักในประตูน้ำใกล้กับสถานีรถไฟไปสนามบิน ฉันมีช่วงเวลาที่ดี ขอบคุณ icheck inn,Positive
119,โรงแรมเก่า แต่ห้องพักสะอาดและเป็นระเบียบอุปกรณ์ครบครัน ฉันไม่ชอบกลิ่นของสเปรย์ในโรงแรมกลิ่นทั่วไปของชาวอินเดีย ตั้งอยู่ใกล้กับตลาดประตูน้ำมีรถตุ๊กตุ๊กใกล้ตลาดเสรีใกล้ bts พญาไท,Positive
120,พนักงานต้อนรับเป็นกันเองมากและให้ความช่วยเหลือดีมาก ทำเลที่ตั้งอยู่ใกล้กับแหล่งช้อปปิ้งและมีให้ฟรีแม้ว่ามันจะไม่ถึงห้างสรรพสินค้าแพลตตินั่ม แต่มันประหยัดมาก อาหารเช้าก็อร่อยแม้ว่าจะมีให้เลือกไม่มากนักและมีเครื่องดื่มร้อนฟรี ชั่วโมง กาแฟช็อคโกแลตและชาไทย ห้องพักดีจริง มีอ่างอาบน้ำใกล้กับ bts พญาไทถนนไม่เหนื่อยและเมื่อคุณต้องการไปที่สถานีขนส่งเอกมัยหรือต้องการไป สถานีขนส่งไปพัทยา คุณไม่จำเป็นต้องเดินทางต่อ โรงแรมที่แนะนำคือประเด็น พรุ่งนี้พรุ่งนี้ถึงกรุงเทพแน่นอนว่าการมาพักที่นี่อีกครั้งก็ดีและราคาก็ยังคงเป็นมิตร,Positive
121,มีความสุขมากที่ฉันใช้เวลาทั้งคืนที่นี่โรงแรมสะอาดบริการก็โอเคที่จะพาเราไปที่แพลตตินัมและประตูน้ำ,Positive
122,ทุกอย่างดีและค่อนข้างพอใจ️,Positive
123,โรงแรมนั้นสะอาด แต่ไม่สามารถเปิดประตูระเบียงได้ดังนั้นมันจึงค่อนข้างลึกลับ,Negative
