,Rating,Review_split
40,4.7,พักทั้งหมด คืน โรงแรมเป็นโรงแรมที่ดูเก่าแล้ว แต่สิ่งอำนวยความสะดวกต่างยังโอเค แอร์เย็นแต่ต้องใช้เวลา น้ำอุ่นต้องหามุมให้ดีไม่งั้นน้ำจะร้อนเกินไป สระว่ายน้ำถือว่าดีมีทั้งน้ำตื้นและน้ำลึก เมตร ฟิตเนสเหมือนเป็นที่ชั่วคราวเปลี่ยนห้องพักมาเป็นห้องฟิตเนส ไม่ค่อยมีอะไรเท่าไหร่ ทั้งหมดโดยรวมถือว่าคุ้มค่ากับเงินที่จ่ายไป ส่วนทำเลจะไม่ได้ดีมาก แต่สามารถเรียกรถตุ๊ก muvmi ไป btsmrt ได้ไม่ยาก มีเซเว่นแต่ต้องเดิน นาที หรือสามารถสั่งผ่านแอปให้มาส่งหน้าโรงแรมก็ได้
41,4.2,ดีครับ ชอบมาก ความปลอดภัยในการเข้าออกห้องดี โรงแรมสวย อาจจะช้าเรื่องเช็คอินไปนิดหน่อย ผมยืนรออยู่พักนึงจนมีพี่อีกคนเดินเข้ามาทำเรื่องให้แปปเดียวเสร็จเลย โดยรวมดีครับ วิวสวย นอนสบายเตียงนุ่ม เสียดายน้ำอุ่นมากวันที่ไปใช้ไม่ได้ รอบหน้าไปพักอีกแน่นอนครับ ️
42,5.0,บริการดีตั้งแต่เลี้ยวเข้าโรงแรม พี่ รปภ พนักงาน ทุกท่านบริการดีมาก ห้องพักสะอาด วิวดี สวย อุปกรณ์อำนวยความสะดวกมีให้ครบ ไม่แน่ใจว่าปกติมีไดร์เป่าผมไหม หาไม่เจอ แต่ก็ไม่ใช่ปัญหาในการเข้าพักค่ะ แอร์เย็น น้ำอุ่นเปิดได้ง่าย ทีวีดูได้ ชัด น้อยมากที่ะเจอโรงแรมมีทีวีและเปิดได้ บางที่มีทีวีแต่เปิดไม่ได้ wifi ใช้ได้ดี ไม่หลุดเลย มีโอกาสจะไปพักอีกนะคะ ประทับใจมาก
43,4.2,ห้องชั้นบนวิวสวยครับมองเห็นเมืองหลวง ตึกไยหยก ตึกแมกโนเลียริมแม่น้ำ และอยู่ใกล้ทางขึ้นลงรถไฟฟ้าที่เดินทางสะดวกด้วยรถยนต์
44,3.0,ที่พักเรียบร้อยดี อาจจะดูเก่าไปบ้างแต่ก็สะอาดดี โทรทัศน์สัญญาณไม่ค่อยดีเท่าไหร่
45,4.5,เหมาะสำหรับพักชั่วคราว โรงแรมใหญ่มาก คนพักเยอะค่ะ
46,4.7,โรงแรมห้องสวย กว้าง สบาย การบริการดี และเดินทางสะดวก แนะนำครับผม
47,4.7,โดยรวมทุกอย่างดีมากค่ะ พนักงานสุภาพเรียบร้อยทุกคนค่ะ
48,4.7,ห้องพักดีมาก วิวสวย คุ้มค่ากับราคา
49,5.0,ดีมากกกก สะดวก มีที่จอดรถกว้างขวาง ใกล้หมอชิต สะอาด พนักงานบริการดี
50,5.0,พนักงานนิสัยดี เป็นกันเอง ห้องพักสะอาด ความปลอดภัยดี ทางเดินก่อนถึงห้องมีแอร์ตลอด วิวทางด่วนสวยดี ไว้จะมาพักอีกครับ
51,5.0,ดีมากค่ะ บริการดี สถานที่ดี สะอาดมาก เลย พนักงานบริการดีพูดจาไพเราะ มีจิตบริการมากค่ะ
52,5.0,ห้องพักดีค่ะ สะอาด ใกล้สถานที่ในเมือง จะกลับมาใช้บริการอีกแน่นอนค่ะ มีประโยชน์
53,3.7,ราคาไม่แพง ที่จอดรถเยอะ ห้องค่อนข้างกว้าง สะอาด สะดวก ดี มีประโยชน์
54,3.5,พนักงานไม่ค่อยตอบคำถามเลยปัดตลอดหน้าไม่ยิ้ม มีประโยชน์
55,5.0,ทำเลดี เดินทาง สะดวก สะอาด เงียบสงบ หาอาหารทานง่าย มีประโยชน์
56,5.0,ชอบมากค่ะ ในห้องสะอาดมาก ไม่ผิดหวังจริงที่เลือกจอง รรนี้
57,3.2,ฝุ่นตามช่องแอร์สกปรก มีประโยชน์
58,4.0,เดินทางสะดวก บริการดี ห้องพักสะอาด
59,5.0,โรงแรมเก่าแต่สะอาดสะอ้านดีมากกกกก
60,4.2,จอดรถค่อนข้างลำบาก แต่มีที่จอดตลอด พนักงานดูแลดีมากค่ะ
61,5.0,ประทับใจมากที่สุดกับพนักงาน ให้บริการอย่างดีเยี่ยม หาห้องให้ ดูแลให้ทุกอย่าง ไป กทม ทุกครั้งพักที่นี่ตลอด นอนหลับสบายเหมือนอยู่บ้านตัวเองค่ะ
62,5.0,สอาดสบายมาก มีประโยชน์
63,5.0,ดีมากมีบริการเตารีด พนักงานต้อนรับดี อาหารลดลงจากช่วงก่อน
64,5.0,จองง่ายมากเลยค่ะ กลับมาพักอีกครั้งเพราะ พนักงานดูแลต้อนรับดีมากเลย มีรปภดูแลรถให้ตลอด ชม มีอาหารเช้าบริการ จองแอปนี้เพราะถูกกว่าแอปอื่น ตอนแรกก็กลัว นี่เพิ่งเคยจองกลับแอปนี้ครั้งแรก แต่ก็ไม่ติดปัญหาอะไรค่ะ จะใช้บริการในทริปต่อไปจ้า
65,4.2,คุ้มค่า คุ้มราคา
66,4.0,คุ้มค่า
67,5.0,เดินทางสะดวก เตียงนอนนุ่มมาก บริการดี รู้สึกประทับใจทุกครั้งที่ได้มา ไม่เคยผิดหวังเลยค่ะ
68,4.0,โอเคเลยครับ ราคาไม่แพงเหมาะสมดี สิ่งอำนวยความสะดวกพร้อม
69,5.0,พนักงานเจ้าหน้าที่บริการดี น่ารักเสมอทุกครั้งที่ไปใช้บริการ
70,5.0,บริการดี พนักงานเอาใจใส่ สะอาด สะดวก
71,4.7,ที่จอดรถหาที่จอดลำบากมาก
72,5.0,ดีมากครับ พนักงานใส่ใจมาก
73,5.0,สุดยอดดดด
74,3.7,ไกลร้านหรือร้านอาหารต้องเดินทางหน่อย มีตู้เย็นใหญ่ด้วย พวกเขาไม่อนุญาตให้ฉันเช็คเอาท์ล่วงเวลาได้แม้เพียง ชั่วโมง แม้ว่าฉันจะอยู่กับพวกเขาเป็นเวลา วันก็ตาม   
75,2.5,แอร์โอเค แต่แอร์มีฝุ่น ต่อให้อ่างอาบน้ำในห้องน้ำพังหรือจุกแตก ไม่คิดจะแก้ไข การคมนาคมขนส่งยังห่างไกลจากสถานที่ท่องเที่ยว ดังนั้นหากคุณต้องการเพลิดเพลินแบบเงียบ ในราคาถูก โปรดมา   
76,3.5,โรงแรม ดาวราคาถูกมาก มีศักยภาพที่ดี อยู่ในพื้นที่ที่พลุกพล่าน ไม่ค่อยมีอะไรข้างนอก ซึ่งคุณสามารถเดินไป ร้านค้าเล็ก และปั๊มน้ำมันส่วนใหญ่   
77,3.5,ไม่มีเครื่องเป่าลมในห้องและเครื่องทำน้ำอุ่นเสีย   
78,3.7,โรงแรมตั้งอยู่ในทำเลไม่ค่อยดี คุณต้องเดิน นาทีไปยังสถานีรถไฟใต้ดิน รถตุ๊กพังศูนย์บ โดยแท็กซี่ไปศูนย์ ประมาณ บาท ร้านกาแฟใกล้เคียงที่คุณไม่ต้องการอยู่นานเกินไป ไม่มีเครื่องเป่าผม รองเท้าแตะ และเสื้อคลุมอาบน้ำในห้องพัก ในสระว่ายน้ำซึ่งอยู่บนดาดฟ้าชั้น คุณต้องไปโดยลิฟต์สาธารณะ ฉันไปในกางเกงขาสั้นเปียกเพราะ ไม่มีผ้าเช็ดตัวให้ การเยี่ยมชม bassik เป็นงานทั้งหมดโดยทั่วไปในวันที่สองของการพักฉันไม่ได้ไป อาหารเช้า น้อย ไส้กรอกเย็นไม่อร่อยกับไข่ดาวพร้อมผลไม้ ความตึงเครียด พาสต้า ข้าว ซุป สลัดสดมัน การอบไม่ใช่ความสดครั้งแรก การเดินทางเขียนว่าที่พักจะมีตั้งแต่ ถึง และในความเป็นจริงเมื่อไม่ได้ระบุชั้นในบัตรกำนัลเมื่อเขาชำระค่าที่พักดังนั้นคุณจึงไม่สามารถมองเห็นวิวจากหน้าต่างได้ ฉันอยู่ชั้น และอย่าเรียกร้อง ข้อดีอย่างเดียวของโรงแรมนี้คือเครื่องปรับอากาศปกติและราคาที่พักคือ ดอลล่าร์สหรัฐ แสดงเพิ่มเติม   
79,4.0,มีของให้ชมรอบ ตัว เลยแวะมาใหม่ มีเสียงรบกวนระหว่างชั้นนิดหน่อย แต่วิวเมืองดีจริง พอใจกับราคา   
80,4.2,ค่อนข้างดีสำหรับราคา ร้านกาแฟปิดเมื่อฉันมาถึง แต่บุฟเฟ่ต์อาหารค่ำดูเหมือนจะเป็นที่นิยม แต่มีบาร์ cafe แบบรูในผนังที่ดีกว่าบนถนนด้านนอกทางด้านขวา ห้องชั้น อยู่ห่างไกลจากเสียงรบกวนบนทางหลวงอย่างมีความสุข พร้อมทิวทัศน์สไตล์ blade runner อันยอดเยี่ยมของเมืองที่แออัดเบื้องล่าง อ่างขนาดเต็มได้รับการชื่นชมอย่างมากหลังจากวันที่อากาศร้อนยาวนาน แม้ว่าน้ำในอ่างจะไม่เคยร้อนเลยก็ตาม กาต้มน้ำที่ใช้งานได้และน้ำดื่มปริมาณมากทำให้ตอนเช้ามีความสุข   
81,5.0,ใกล้กับสถานีหมอชิตสำหรับรถบัสของเราสิ่งอำนวยความสะดวกที่ยอดเยี่ยม เตียงนอนสบาย   
82,2.5,ไม่มีน้ำร้อน อ่างอาบน้ำจะเย็นกว่าถ้าเปิดเครื่องปรับอากาศในร่ม อย่างอื่นโอเค มีที่จอดรถ   
83,1.0,tripcom มีส่วนรับผิดชอบต่อประสบการณ์ที่ไม่ดีนี้เช่นกัน ฉันเลือกโรงแรมนี้เพราะในข้อมูลมีสระว่ายน้ำและฟิตเนส แต่เสียดายตอนจ่ายเงินไปเช็คอินแล้ว สระว่ายน้ำกับฟิตเนสอยู่ใกล้กันไม่มีเหตุผล แม้แต่ในโรงแรมอื่นในกรุงเทพก็เปิดสระตั้งแต่สองสามเดือนก่อน โรงแรมนี้ไม่มีผ้าเช็ดตัวผืนเล็ก ไม่มีรองเท้าแตะ ไม่มีแปรงสีฟัน ไม่มีของฟรีเหมือนชาหรือกาแฟ บริการแย่มาก หวังว่าจะไม่มีใครมีประสบการณ์แย่ แบบฉันอีกนะ   
84,4.7,ดีมาก พนักงานที่ดี สะอาดและสะดวกสบาย ใกล้สถานที่ท่องเที่ยว   
85,5.0,ประสบการณ์ของฉันดีและพนักงานก็ให้ความร่วมมือ อาหารเช้าดีที่สุด   
86,2.7,พอไปถึงก็รู้ว่าฝักบัวเสีย เลยใช้ไม่ได้ ก็เลยยกเลิกไม่ได้   
87,5.0,ทำเลดี ที่นี่เป็นโรงแรมที่ดีกว่า   
88,4.7,เป็นโรงแรมที่ดีและราคาถูกเมื่อจองผ่าน tripcom ผมชอบมันมาก เป็นการรักษาความปลอดภัยที่ดีมากและหน้าต่างก็ใหญ่ วิวดีแม้หน้าฝน   
89,4.7,โรงแรมที่ดี ล็อบบี้ที่สวยงาม ห้องพักสะอาดและกว้างขวางพร้อมสิ่งอำนวยความสะดวกทั้งหมดรวมอยู่ด้วย   
90,4.7,ทำเลที่ตั้งดีมากค่ะ อยู่ในซพหลโยธิน ขับรถไปสะดวก มีที่จอดรถเยอะมากค่ะ ห้องพักกว้างมาก สิ่งอำนวยความสะดวกครบ พนงดูแลดี แต่ติดอย่างเดียวเรื่องความสะอาดค่ะ เพราะห้องที่ไปพักตอนไปบนโซฟายังมีเส้นผมติดอยู่เลย และก็แม่บ้านลืมให้ผ้าเช็ดตัวไว้ค่ะ แต่ก็โทรไปขอตอนเที่ยงคืนกว่า พนงก็รีบเอามาให้อย่างเร็วเลย ถือว่าแก้ปัญหาได้ดีเยี่ยมค่ะ แต่ถือว่าดีมาก คุ้มค่า ไว้ไปแถวนั้นจะพักที่เดิมแน่นอนค่ะ มีประโยชน์
91,5.0,เป็นอีกสถานที่ที่มาบ่อยและก็จะมาใช้ยริการอีกต่อ เพราะติดใจบรรยากาศ ให้ความรู้สึกเหมือนอยู่บ้าน
92,5.0,ไปนอนห้อง ได้ยินเสียงเครื่องทำน้ำอุ่น หรือเสียงเปิดน้ำของห้องข้าง เสียงแอร์ดังในห้องนอน แต่โดยรวมสะดวกสบายดี เป็นส่วนตัว คราวหน้าก็จะไปพักอีกค่ะ
93,4.0,โรงแรมสภาพโอเค โลเคชั่นดีมาก สะอาด เตียงยวบยาบไปนิดแต่พอนอนได้ รวมโอเค สำหรับนอนแค่คืนเดียว ไม่แย่นะ โอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอโอ
94,5.0,ห้องพักสะอาดมากคะ มีประโยชน์
95,4.2,ทำเลใกล้สถานีรถไฟฟ้า แต่ไม่มีอะไรอื่น มีรถบัสรับส่งสนามบินโดยตรง พนักงานเป็นกันเองสุด ห้องใหญ่มาก แต่ควรปรับปรุงเรื่องความสะอาด บริเวณสระว่ายน้ำสวยมากพร้อมบริการรถรับส่งฟรีไปยังสถานี   
96,3.0,ที่ตั้งของโรงแรมอยู่ใกล้กับอารีย์ซึ่งก็โอเค ห้องพักเก่าและจำเป็นต้องปรับปรุง พนักงานไม่เป็นมิตร ขอกุญแจดอกที่สอง แต่พวกเขาไม่ปฏิบัติตามคำขอของฉัน ให้กุญแจแก่ฉันเพียงดอกเดียว เตียงควรจะเป็นราชินี แต่มันเล็กกว่าราชินี เครื่องปรับอากาศแย่มาก ห้องน้ำมีกลิ่นเหม็นบางครั้ง ฉันจะไม่จองที่นี่อีก   
97,3.0,ถือว่า ดาวก็โอเคนะ ห้องอาหาร hungry brown ในโรงแรมคือ มีความแตกต่างของแต่ละบุคคล แต่อาหารเป็นอย่างมาก โปรดทราบว่าไม่สามารถรับประทานได้โดยการบีบ   
98,5.0,โรงแรมสะอาดเงียบสงบและสะดวกสบาย ผู้คนใจดี นี่ไม่ใช่ครั้งแรกที่ฉันมาพักที่นี่ จะกลับมาอีกแน่นอน   
99,4.0,โรงแรมค่อนข้างเก่า ดูแลรักษาดี เป็นแบบบ้านที่ชอบ แอร์ดังเกินไป คนข้างบนได้ยินชัด ข้อเสียใหญ่สุด   
100,4.5,แย่เพียงเล็กน้อยไกลจากศูนย์กลาง อพาร์ทเมนต์ที่สวยงามและยิมที่ดีและบริเวณสระว่ายน้ำ   
101,3.7,ทำเลที่ตั้งดี ประตูห้องน้ำไม่สะอาด พบฝุ่นบนเฟอร์นิเจอร์   
102,5.0,ห้องใหญ่และสะอาดในห้องของเราไม่มีเสียงรบกวนมีคืนที่ดี   
103,3.0,ที่ตั้งโรงแรม การบริการ ความสะอาด สิ่งอำนวยความสะดวก   
104,4.2,ทำเลดี บริการดีเยี่ยม   
105,4.2,  
106,4.0,ทำเลดี   
107,5.0,อัตราส่วนราคาประสิทธิภาพสูง ถูกสุขอนามัย การตกแต่งห้องดี สระว่ายน้ำใหญ่พอ น้ำก็สะอาดมาก ยิมก็มีอุปกรณ์พื้นฐานด้วย อาหารเช้าปานกลาง คุณสามารถกินได้   
108,4.5,โรงแรมมีความสะดวกในการเดินทางมาก ใช้เวลาเพียง นาทีจากโรงแรมไปยังสถานีรถไฟฟ้า bts n ผ่านเส้นทางร้านนวด มีร้านอาหารอยู่ไม่กี่ร้าน แต่มีร้านสะดวกซื้อซึ่งค่อนข้างสะดวก ห้องพักในโรงแรมใหญ่มาก ขนาดครอบครัวเหมาะมาก แต่จอง เตียง แต่จัดเตียงควีนไซส์ เตียง แต่เตียงควีนไซส์ใหญ่ คนยังนอนได้ มีครัวขนาดเล็กใน ในห้องมีแต่น้ำร้อนเท่านั้น หม้อดินและเตาไมโครเวฟไม่ได้รับอนุญาตให้ปรุงอาหารด้วยตัวเอง มีเครื่องใช้บนโต๊ะอาหารพื้นฐานให้ เครื่องปรับอากาศก็เพียงพอแล้ว แรงดันน้ำในห้องอาบน้ำไม่เพียงพอ เป็นสถานที่ที่น่าผิดหวัง ที่ตั้งโรงแรมโดยรวมดีและพื้นที่ห้องเพียงพอ อย่างไรก็ตาม ต้องปรับปรุงแรงดันน้ำ อาจพิจารณาพักอีกครั้ง   
109,4.7,ห้องพักมีขนาดใหญ่และทำเลที่ตั้งดี เฟอร์นิเจอร์ในห้องไม่ค่อยดูแล   
110,5.0,บริการดีและทำเลดี   
111,3.5,สิบปีที่ไปกรุงเทพผมจะเลือก bloom hotel เฉพาะเพื่อนที่เคยพูดถึงการพักในกรุงเทพ erbuy อ่านภาษาอังกฤษและภาษาจีน ตลอด ปีที่ผ่านมาผมก็เคยแนะนำเช่นกัน เพื่อนหลายคนมาพักที่นี่ แต่คราวนี้ฉันต้องบ่นเกี่ยวกับโรงแรมนี้อย่างเป็นทางการ สุขอนามัยที่นี่ไม่เคยทำให้ฉันกังวลเลย มันสะอาดมาก แต่ด้วยอายุของโรงแรม ระดับการบริการก็ลดลงเรื่อย และมันยากมากที่จะสื่อสาร ไม่ว่าจะเกิดอะไรขึ้น คำตอบจากแผนกต้อนรับคือ ไม่ การส่งอีเมลนั้นไร้ประโยชน์โดยสิ้นเชิง และคุณจะไม่ได้รับการตอบกลับเลย ครั้งนี้ฉันแนะนำให้เพื่อนพักที่โรงแรมนี้สำหรับปีใหม่ และเพื่อนของฉันก็ผิดหวังมาก สิ่งอำนวยความสะดวกในโรงแรมเริ่มล้าสมัยและมาตรฐานการบริการก็ลดลงอย่างจริงจังเช่นกัน สำหรับเพื่อนที่ไม่เก่งภาษาอังกฤษไม่มีทางสื่อสารได้เลย อาหารเช้าที่นี่เรียบง่ายแต่แพง มีทั้งหมด แบบและต้องใช้เงินมากกว่า หยวน ราคาไม่ต่ำแต่ไม่เคยรวมอาหาร นี่จะทำลายหัวใจลูกค้าเก่าจริง สำหรับแขกผู้เฒ่าของเราที่อาศัยอยู่มาสิบปีแล้ว รู้สึกว่ามันมีค่าน้อยลงเรื่อย ฉันสามารถพูดได้เท่านั้น ลาก่อน abloom จะไม่แนะนำให้เพื่อนมาพักอีก แสดงเพิ่มเติม   
112,4.0,นี่เป็นครั้งที่สองที่ฉันพัก โดยทั่วไป ฉันรู้สึกไม่ค่อยดีในครั้งแรก ประเภทห้องที่ฉันพักเก่ากว่า มีกลิ่นอับทันทีที่เข้าห้อง แอร์เย็นมากแต่เสียงดังไปหน่อย ความร้อน ทัศนคติการบริการของพนักงานดีมาก มีร้านนวดอยู่ใกล้   
113,2.5,ฉันจองห้อง ห้อง ห้องไม่เหมือนในรูป ความสะอาดของห้อง อึดอัดจริง dirty dirty dirty ในโรงแรมไม่มีหน้ากาก กลัวตายจริง   
114,5.0,ไม่เลวฉันชอบมันมาก   
115,4.0,รร พื้นไม้เสียงดังตึงตังโครมครามเป็นระยะ ห้องกว้างแต่ทีวีจอเล็กมาก เป็นทีวีรุ่นเก่ามาก ช่องทีวีก็ดูได้บ้างไม่ได้บ้าง น้ำร้อนเหมือนไบโพล่าเดี๋ยวร้อนเดี๋ยวเย็น บางห้องแอร์ไม่เย็น วันที่เข้าพักต้องเรียกให้ช่างเข้ามาล้างแอร์เสียเวลาพักผ่อนไปอีกสามชั่วโมง noisy old small tv hot water but cold hahaa แปล
116,4.5,มาพักเป็นครั้งที่ แล้วค่ะ ประทับใจตั้งแต่ทำเลของโรงแรม การบริการ ห้องพัก ความสะอาด
117,5.0,บริการดี ประทับใจ เดินทางสะดวกครับ ใกล้แหล่งของกิน ใกล้รถไฟฟ้า มาพัก ครั้งแล้ว
118,3.7,การบริการดีและห้องสวยงามห้องน้ำสะอาดมีที่จอดรถใต้ดินสองชั้น
119,4.7,ทำเลโรงแรมดีมากค่ะ ห้องกว้างห้องน้ำก็กว้างสมราคา ทางเดินห้องอาจจะมืดไปหน่อย แต่ภายในห้องสวยค่ะไม่ได้แย่เลย พนักงานบริการดีพูดจาเพราะไม่เหวี่ยง ไปไหนสะดวกมาคนเดียวก็ไม่น่ากลัวค่ะ ใกล้สถานที่ คาเฟ่ ร้านอาหารต่าง ติดตรงเข้าพักคืนแรกที่นอนมีฝุ่นนิดหน่อย เหมือนไม่ได้ใช้งาน แต่คืนต่อไปแม่บ้านทำความสะอาดคือดีมากค่ะ ทุกอย่างสะอาดเอื่ยม แต่เสียดายสัญญาณเน็ตภายในโรงแรมไม่แรง นอกนั้นดีหมด
120,5.0,ห้องดีมากสะอาดห้องน้ำสะอาดแอร์เย็นฉ่ำพนักงานบริการดีติดรถไฟฟ้าbts
121,5.0,ห้องสะอาด แอร์เย็นไม่หนาวมาก อากาศปลอดกลิ่นบุหรี่ ปลอดภัย
122,5.0,ใกล้bts เดินไม่นานก็ถึง พนักงานบริการดี สะดวกสบายชอบมาก
